id,category,description,group,minValue,maxValue,mark,targetElementIds
JumpM1,Jump,SP: *が付与されたジャンプまたは要件を満たさないジャンプ要素の最終GOEは必ず,,-5,-5,,
JumpM2,Jump,転倒,,-5,-5,,
JumpM3,Jump,１ジャンプの着氷が両足,,-3,-4,,
JumpM4,Jump,１ジャンプの着氷でステップ・アウト,,-3,-4,,
JumpM5,Jump,ダウングレード判定,Rotate,-3,-4,<<,
JumpM6,Jump,回転不足判定,Rotate,-2,-3,<,1T/1S/1Lo/1F/1Lz/1A/2T/2S/2Lo/2F/2Lz/2A/3T/3S/3Lo/3F/3Lz/3A/4T/4S/4Lo/4F/4Lz/4A
JumpM7,Jump,1/4回転不足で着氷,Rotate,-2,-2,q,1T/1S/1Lo/1F/1Lz/1A/2T/2S/2Lo/2F/2Lz/2A/3T/3S/3Lo/3F/3Lz/3A/4T/4S/4Lo/4F/4Lz/4A
JumpM8,Jump,ジャンプ・コンボ／シークェンスで複数の "q ",Rotate,-3,-4,,
JumpM9,Jump,1/4回転未満の不足,Rotate,-1,-1,,
JumpM10,Jump,F/Lzの踏み切りエッジが違う,Edge,-2,-4,e,F/2F/3F/4F/Lz/2Lz/3Lz/4Lz
JumpM11,Jump,F/Lzの踏み切りエッジが不明確,Edge,-1,-2,!,F/2F/3F/4F/Lz/2Lz/3Lz/4Lz
JumpM12,Jump,F/Lzの踏み切りエッジが不明確,Edge,-1,-1,,F/2F/3F/4F/Lz/2Lz/3Lz/4Lz
JumpM13,Jump,拙劣な踏み切り,,-2,-4,,
JumpM14,Jump,オイラーがステップ・オーバーになった,,-1,-2,,1Eu
JumpM15,Jump,ジャンプ・コンボ/シークェンスの間にエッジが変わった,,-1,-2,,
JumpM16,Jump,ジャンプ間にスリー・ターン２回（コンボ／シークェンス）,,-2,-3,,
JumpM17,Jump,スピード，高さ，距離，空中姿勢が拙劣,,-1,-3,,
JumpM18,Jump,１ジャンプで両手がタッチ・ダウン,,-2,-3,,
JumpM19,Jump,片手またはフリー・フットがタッチ・ダウン（ジャンプ間を含む）,,-1,-2,,
JumpM20,Jump,ジャンプ間の流れが悪い／方向を失う／リズムが悪い（コンボ／シークェンス）,,-1,-3,,
JumpM21,Jump,拙い着氷（悪い姿勢／まちがったエッジ／引っかき等）,,-1,-3,,
JumpM22,Jump,長い構え,,-1,-3,,
JumpM23,Jump,FS:ジャンプ・コンボ／シークェンスで無価値のジャンプ(*が付与された場合を除く),,-3,-4,,
SpinM1,Spin,転倒,,-5,-5,,
SpinM2,Spin,必須回転数に1回転または2回転満たない,,-1,-2,,
