id,category,description,group,minValue,maxValue,mark,targetElementIds
SpinM3,Spin,必須回転数に3回転以上満たない,,-3,-4,,
SpinM4,Spin,足換えが拙劣（回転方向の転換時を除く，入／出のカーブを含む）,,-2,-3,,CUSpB/CUSp1/CUSp2/CUSp3/CUSp4/FCUSpB/FCUSp1/FCUSp2/FCUSp3/FCUSp4/CLSpB/CLSp1/CLSp2/CLSp3/CLSp4/FCLSpB/FCLSp1/FCLSp2/FCLSp3/FCLSp4/CCSpB/CCSp1/CCSp2/CCSp3/CCSp4/FCCSpB/FCCSp1/FCCSp2/FCCSp3/FCCSp4/CSSpB/CSSp1/CSSp2/CSSp3/CSSp4/FCSSpB/FCSSp1/FCSSp2/FCSSp3/FCSSp4/CCoSpB/CCoSp1/CCoSp2/CCoSp3/CCoSp4/FCCoSpB/FCCoSp1/FCCoSp2/FCCoSp3/FCCoSp4
SpinM5,Spin,フライングが拙劣(フライング・スピン),,-1,-3,,FUSpB/FUSp1/FUSp2/FUSp3/FUSp4/FCUSpB/FCUSp1/FCUSp2/FCUSp3/FCUSp4/FCUSp4/FSSpB/FSSp1/FSSp2/FSSp3/FSSp4/FCSSpB/FCSSp1/FCSSp2/FCSSp3/FCSSp4/FCSSp4/FCSpB/FCSp1/FCSp2/FCSp3/FCSp4/FCCSpB/FCCSp1/FCCSp2/FCCSp3/FCCSp4/FLSpB/FLSp1/FLSp2/FLSp3/FLSp4/FCLSpB/FCLSp1/FCLSp2/FCLSp3/FCLSp4/FCoSpB/FCoSp1/FCoSp2/FCoSp3/FCoSp4/FCCoSpB/FCCoSp1/FCCoSp2/FCCoSp3/FCCoSp4
SpinM6,Spin,出が拙劣,,-1,-3,,
SpinM7,Spin,軸の流れ,,-1,-3,,
SpinM8,Spin,音楽に合っていない,,-1,-3,,
SpinM9,Spin,拙劣な，弱い，またはぎこちない姿勢,,-1,-3,,
SpinM10,Spin,回転速度が遅い，遅くなる,,-1,-3,,
SpinM11,Spin,フリー・フットまたは片手／両手がタッチ・ダウン,,-1,-3,,
SpinM12,Spin,バランスを崩した,,-1,-3,,
SpinM13,Spin,フライングが拙劣および/または踏み切りや着氷が正しくない,,-2,-3,,FUSpB/FUSp1/FUSp2/FUSp3/FUSp4/FCUSpB/FCUSp1/FCUSp2/FCUSp3/FCUSp4/FCUSp4/FSSpB/FSSp1/FSSp2/FSSp3/FSSp4/FCSSpB/FCSSp1/FCSSp2/FCSSp3/FCSSp4/FCSSp4/FCSpB/FCSp1/FCSp2/FCSp3/FCSp4/FCCSpB/FCCSp1/FCCSp2/FCCSp3/FCCSp4/FLSpB/FLSp1/FLSp2/FLSp3/FLSp4/FCLSpB/FCLSp1/FCLSp2/FCLSp3/FCLSp4/FCoSpB/FCoSp1/FCoSp2/FCoSp3/FCoSp4/FCCoSpB/FCCoSp1/FCCoSp2/FCCoSp3/FCCoSp4
SpinM14,Spin,フライング・スピンの踏み切りや着氷が正しくない,,-1,-2,,FUSpB/FUSp1/FUSp2/FUSp3/FUSp4/FCUSpB/FCUSp1/FCUSp2/FCUSp3/FCUSp4/FCUSp4/FSSpB/FSSp1/FSSp2/FSSp3/FSSp4/FCSSpB/FCSSp1/FCSSp2/FCSSp3/FCSSp4/FCSSp4/FCSpB/FCSp1/FCSp2/FCSp3/FCSp4/FCCSpB/FCCSp1/FCCSp2/FCCSp3/FCCSp4/FLSpB/FLSp1/FLSp2/FLSp3/FLSp4/FCLSpB/FCLSp1/FCLSp2/FCLSp3/FCLSp4/FCoSpB/FCoSp1/FCoSp2/FCoSp3/FCoSp4/FCCoSpB/FCCoSp1/FCCoSp2/FCCoSp3/FCCoSp4
SpinM15,Spin,足換えスピンで回転数のバランスが悪い,,-1,-1,,CUSpB/CUSp1/CUSp2/CUSp3/CUSp4/FCUSpB/FCUSp1/FCUSp2/FCUSp3/FCUSp4/CLSpB/CLSp1/CLSp2/CLSp3/CLSp4/FCLSpB/FCLSp1/FCLSp2/FCLSp3/FCLSp4/CCSpB/CCSp1/CCSp2/CCSp3/CCSp4/FCCSpB/FCCSp1/FCCSp2/FCCSp3/FCCSp4/CSSpB/CSSp1/CSSp2/CSSp3/CSSp4/FCSSpB/FCSSp1/FCSSp2/FCSSp3/FCSSp4/CCoSpB/CCoSp1/CCoSp2/CCoSp3/CCoSp4/FCCoSpB/FCCoSp1/FCCoSp2/FCCoSp3/FCCoSp4
SpinM16,Spin,基本姿勢を２種類しか含まなかった,,0,0,V,FUSp/FLSp/FCSp/FSSp/CUSp/FCUSp/CLSp/FCLSp/CCSp/FCCSp/CSSp/FCSSp/CoSp/FCoSp/CCoSp/FCCoSp
StepSequenceM1,StepSequence,SP：1回転を超える表内ジャンプが含まれている,,-1,-1,,
StepSequenceM2,StepSequence,転倒,,-5,-5,,
StepSequenceM3,StepSequence,部分的に，または全体的に音楽に合っていない,,-1,-4,,
StepSequenceM4,StepSequence,つまずき,,-1,-3,,
StepSequenceM5,StepSequence,ステップやターンの質が拙劣,,-1,-3,,
StepSequenceM6,StepSequence,姿勢が拙劣,,-1,-3,,
StepSequenceM7,StepSequence,流れやエネルギーがない,,-1,-3,,
StepSequenceM8,StepSequence,パターンが小さい,,-1,-3,,
ChoreographicSequenceM1,ChoreographicSequence,転倒,,-5,-5,,
ChoreographicSequenceM2,ChoreographicSequence,部分的に，または全体的に音楽に合っていない,,-1,-4,,
ChoreographicSequenceM3,ChoreographicSequence,コレオグラフィックムーブメントのつながりが不足している,,-2,-3,,
ChoreographicSequenceM4,ChoreographicSequence,パターンが小さい,,-1,-3,,
ChoreographicSequenceM5,ChoreographicSequence,つまずき,,-1,-3,,
ChoreographicSequenceM6,ChoreographicSequence,コントロールを失う／エネルギーがない,,-1,-3,,
ChoreographicSequenceM7,ChoreographicSequence,動作／姿勢が拙劣,,-1,-3,,
ChoreographicSequenceM8,ChoreographicSequence,振付を引き立たせていない ,,-1,-3,,
