id,category,description,group,minValue,maxValue,mark,targetElementIds
JumpM1,Jump,«goe-minus-jump-m1»,,-5,-5,,
JumpM2,Jump,«goe-minus-jump-m2»,,-5,-5,,
JumpM3,Jump,«goe-minus-jump-m3»,,-3,-4,,
JumpM4,Jump,«goe-minus-jump-m4»,,-3,-4,,
JumpM5,Jump,«goe-minus-jump-m5»,,-2,-3,,
JumpM6,Jump,«goe-minus-jump-m6»,,-1,-2,,
JumpM7,Jump,«goe-minus-jump-m7»,Edge,-2,-4,e,F/2F/3F/4F/Lz/2Lz/3Lz/4Lz
JumpM8,Jump,«goe-minus-jump-m8»,Edge,-1,-2,!,F/2F/3F/4F/Lz/2Lz/3Lz/4Lz
JumpM9,Jump,«goe-minus-jump-m9»,Edge,-1,-1,,F/2F/3F/4F/Lz/2Lz/3Lz/4Lz
JumpM10,Jump,«goe-minus-jump-m10»,,-2,-4,,
JumpM11,Jump,«goe-minus-jump-m11»,Rotate,-3,-4,<<,
JumpM12,Jump,«goe-minus-jump-m12»,Rotate,-2,-3,<,1T/1S/1Lo/1F/1Lz/1A/2T/2S/2Lo/2F/2Lz/2A/3T/3S/3Lo/3F/3Lz/3A/4T/4S/4Lo/4F/4Lz/4A
JumpM13,Jump,«goe-minus-jump-m13»,Rotate,-2,-2,q,1T/1S/1Lo/1F/1Lz/1A/2T/2S/2Lo/2F/2Lz/2A/3T/3S/3Lo/3F/3Lz/3A/4T/4S/4Lo/4F/4Lz/4A
JumpM14,Jump,«goe-minus-jump-m14»,Rotate,-1,-1,,
JumpM15,Jump,«goe-minus-jump-m15»,,-1,-2,,1Eu
JumpM16,Jump,«goe-minus-jump-m16»,,-1,-3,,
JumpM17,Jump,«goe-minus-jump-m17»,,-2,-3,,
JumpM18,Jump,«goe-minus-jump-m18»,,-1,-2,,
JumpM19,Jump,«goe-minus-jump-m19»,,-1,-3,,
JumpM20,Jump,«goe-minus-jump-m20»,,-1,-3,,
JumpM21,Jump,«goe-minus-jump-m21»,,-1,-3,,
SpinM1,Spin,«goe-minus-spin-m1»,,-5,-5,,
SpinM2,Spin,«goe-minus-spin-m2»,,-1,-3,,
SpinM3,Spin,«goe-minus-spin-m3»,,-1,-3,,FUSpB/FUSp1/FUSp2/FUSp3/FUSp4/FCUSpB/FCUSp1/FCUSp2/FCUSp3/FCUSp4/FCUSp4/FSSpB/FSSp1/FSSp2/FSSp3/FSSp4/FCSSpB/FCSSp1/FCSSp2/FCSSp3/FCSSp4/FCSSp4/FCSpB/FCSp1/FCSp2/FCSp3/FCSp4/FCCSpB/FCCSp1/FCCSp2/FCCSp3/FCCSp4/FLSpB/FLSp1/FLSp2/FLSp3/FLSp4/FCLSpB/FCLSp1/FCLSp2/FCLSp3/FCLSp4/FCoSpB/FCoSp1/FCoSp2/FCoSp3/FCoSp4/FCCoSpB/FCCoSp1/FCCoSp2/FCCoSp3/FCCoSp4
SpinM4,Spin,«goe-minus-spin-m4»,,-1,-2,,FUSpB/FUSp1/FUSp2/FUSp3/FUSp4/FCUSpB/FCUSp1/FCUSp2/FCUSp3/FCUSp4/FCUSp4/FSSpB/FSSp1/FSSp2/FSSp3/FSSp4/FCSSpB/FCSSp1/FCSSp2/FCSSp3/FCSSp4/FCSSp4/FCSpB/FCSp1/FCSp2/FCSp3/FCSp4/FCCSpB/FCCSp1/FCCSp2/FCCSp3/FCCSp4/FLSpB/FLSp1/FLSp2/FLSp3/FLSp4/FCLSpB/FCLSp1/FCLSp2/FCLSp3/FCLSp4/FCoSpB/FCoSp1/FCoSp2/FCoSp3/FCoSp4/FCCoSpB/FCCoSp1/FCCoSp2/FCCoSp3/FCCoSp4
SpinM5,Spin,«goe-minus-spin-m5»,,-1,-3,,
SpinM6,Spin,«goe-minus-spin-m6»,,-1,-3,,
SpinM7,Spin,«goe-minus-spin-m7»,,-1,-3,,
SpinM8,Spin,«goe-minus-spin-m8»,,-1,-3,,
SpinM9,Spin,«goe-minus-spin-m9»,,-2,-3,,CUSpB/CUSp1/CUSp2/CUSp3/CUSp4/FCUSpB/FCUSp1/FCUSp2/FCUSp3/FCUSp4/CLSpB/CLSp1/CLSp2/CLSp3/CLSp4/FCLSpB/FCLSp1/FCLSp2/FCLSp3/FCLSp4/CCSpB/CCSp1/CCSp2/CCSp3/CCSp4/FCCSpB/FCCSp1/FCCSp2/FCCSp3/FCCSp4/CSSpB/CSSp1/CSSp2/CSSp3/CSSp4/FCSSpB/FCSSp1/FCSSp2/FCSSp3/FCSSp4/CCoSpB/CCoSp1/CCoSp2/CCoSp3/CCoSp4/FCCoSpB/FCCoSp1/FCCoSp2/FCCoSp3/FCCoSp4
SpinM10,Spin,«goe-minus-spin-m10»,,-1,-3,,
SpinM11,Spin,«goe-minus-spin-m11»,,-1,-1,,CUSpB/CUSp1/CUSp2/CUSp3/CUSp4/FCUSpB/FCUSp1/FCUSp2/FCUSp3/FCUSp4/CLSpB/CLSp1/CLSp2/CLSp3/CLSp4/FCLSpB/FCLSp1/FCLSp2/FCLSp3/FCLSp4/CCSpB/CCSp1/CCSp2/CCSp3/CCSp4/FCCSpB/FCCSp1/FCCSp2/FCCSp3/FCCSp4/CSSpB/CSSp1/CSSp2/CSSp3/CSSp4/FCSSpB/FCSSp1/FCSSp2/FCSSp3/FCSSp4/CCoSpB/CCoSp1/CCoSp2/CCoSp3/CCoSp4/FCCoSpB/FCCoSp1/FCCoSp2/FCCoSp3/FCCoSp4
SpinM12,Spin,«goe-minus-spin-m12»,,0,0,V,FUSp/FLSp/FCSp/FSSp/CUSp/FCUSp/CLSp/FCLSp/CCSp/FCCSp/CSSp/FCSSp/CoSp/FCoSp/CCoSp/FCCoSp
StepSequenceM1,StepSequence,«goe-minus-step-sequence-m1»,,-1,-1,,
StepSequenceM2,StepSequence,«goe-minus-step-sequence-m2»,,-5,-5,,
StepSequenceM3,StepSequence,«goe-minus-step-sequence-m3»,,-2,-4,,
StepSequenceM4,StepSequence,«goe-minus-step-sequence-m4»,,-1,-3,,
StepSequenceM5,StepSequence,«goe-minus-step-sequence-m5»,,-1,-3,,
StepSequenceM6,StepSequence,«goe-minus-step-sequence-m6»,,-1,-3,,
StepSequenceM7,StepSequence,«goe-minus-step-sequence-m7»,,-1,-3,,
StepSequenceM8,StepSequence,«goe-minus-step-sequence-m8»,,-1,-3,,
ChoreographicSequenceM1,ChoreographicSequence,«goe-minus-choreographic-sequence-m1»,,-5,-5,,
ChoreographicSequenceM2,ChoreographicSequence,«goe-minus-choreographic-sequence-m2»,,-2,-4,,
ChoreographicSequenceM3,ChoreographicSequence,«goe-minus-choreographic-sequence-m3»,,-2,-3,,
ChoreographicSequenceM4,ChoreographicSequence,«goe-minus-choreographic-sequence-m4»,,-1,-3,,
