id,regionId,countryId,name,isInternational,startDay,endDay,eventIds
ISUJGPRigaCup2024,Riga,LAT,competition-isujgp-riga-cup2024,true,2024/8/28,2024/8/31,JuniorMenSingle/JuniorWomenSingle
ISUJGPCzechSkate2024,Ostrava,CZE,competition-isujgp-czech-skate2024,true,2024/9/4,2024/9/7,JuniorMenSingle/JuniorWomenSingle
ISUJGPBangkok2024,Bangkok,THA,competition-isujgp-bangkok2024,true,2024/9/11,2024/9/14,JuniorMenSingle/JuniorWomenSingle
ISUJGPIstanbul2024,Ankara,TUR,competition-isujgp-istanbul2024,true,2024/9/18,2024/9/21,JuniorMenSingle/JuniorWomenSingle
ISUJGPSolidarityCup2024,Gdansk,POL,competition-isujgp-solidarity-cup2024,true,2024/9/25,2024/9/28,JuniorMenSingle/JuniorWomenSingle
ISUJGPLjubljanaCup2024,Ljubljana,SLO,competition-isujgp-ljubljana-cup2024,true,2024/10/2,2024/10/5,JuniorMenSingle/JuniorWomenSingle
ISUJGPWuxi2024,Wuxi,CHN,competition-isujgp-wuxi2024,true,2024/10/9,2024/10/12,JuniorMenSingle/JuniorWomenSingle
ISUGPSkateAmerica2024,Allen,USA,competition-isugp-skate-america2024,true,2024/10/18,2024/10/20,SeniorMenSingle/SeniorWomenSingle
ISUGPSkateCanada2024,Halifax,CAN,competition-isugp-skate-canada2024,true,2024/10/25,2024/10/27,SeniorMenSingle/SeniorWomenSingle
ISUGPGrandPrixdeFrance2024,Angers,FRA,competition-isugp-grand-prixde-france2024,true,2024/11/1,2024/11/3,SeniorMenSingle/SeniorWomenSingle
ISUGPNHKTrophy2024,Tokyo,JPN,competition-isugpnhk-trophy2024,true,2024/11/8,2024/11/10,SeniorMenSingle/SeniorWomenSingle
ISUGPFinlandiaTrophy2024,Helsinki,FIN,competition-isugp-finlandia-trophy2024,true,2024/11/15,2024/11/17,SeniorMenSingle/SeniorWomenSingle
ISUGPCupofChina2024,Chongqing,CHN,competition-isugp-cupof-china2024,true,2024/11/22,2024/11/24,SeniorMenSingle/SeniorWomenSingle
ISUGrandPrixFinal2024-25,Grenoble,FRA,competition-isu-grand-prix-final2024-25,true,2024/12/5,2024/12/8,SeniorMenSingle/SeniorWomenSingle/JuniorMenSingle/JuniorWomenSingle
ISUEuropeanFigureSkatingChampionships2025,Tallinn,EST,competition-isu-european-figure-skating-championships2025,true,2025/1/28,2025/2/2,SeniorMenSingle/SeniorWomenSingle
ISUFourContinentsFigureSkatingChampionships2025,Seoul,KOR,competition-isu-four-continents-figure-skating-championships2025,true,2025/2/19,2025/2/23,SeniorMenSingle/SeniorWomenSingle
ISUWorldJuniorFigureSkatingChampionships2025,Debrecen,HUN,competition-isu-world-junior-figure-skating-championships2025,true,2025/2/25,2025/3/2,JuniorMenSingle/JuniorWomenSingle
ISUWorldFigureSkatingChampionships2025,Boston,USA,competition-isu-world-figure-skating-championships2025,true,2025/3/25,2025/3/30,SeniorMenSingle/SeniorWomenSingle
Tohoku-HokkaidoRegional,Hokkaido,JPN,competition-tohoku-hokkaido-regional,false,2024/10/04,2024/10/06,SeniorMenSingle/SeniorWomenSingle/JuniorMenSingle/JuniorWomenSingle/NoviceAMenSingle/NoviceAWomenSingle/NoviceBMenSingle/NoviceBWomenSingle
KantoRegional,Tochigi,JPN,competition-kanto-regional,false,2024/09/26,2024/09/29,SeniorMenSingle/SeniorWomenSingle/JuniorMenSingle/JuniorWomenSingle/NoviceAMenSingle/NoviceAWomenSingle/NoviceBMenSingle/NoviceBWomenSingle
TokyoRegional,Chiba,JPN,competition-tokyo-regional,false,2024/09/20,2024/09/23,SeniorMenSingle/SeniorWomenSingle/JuniorMenSingle/JuniorWomenSingle/NoviceAMenSingle/NoviceAWomenSingle/NoviceBMenSingle/NoviceBWomenSingle
ChubuRegional,Aichi,JPN,competition-chubu-regional,false,2024/09/21,2024/09/23,SeniorMenSingle/SeniorWomenSingle/JuniorMenSingle/JuniorWomenSingle/NoviceAMenSingle/NoviceAWomenSingle/NoviceBMenSingle/NoviceBWomenSingle
KinkiRegional,Osaka,JPN,competition-kinki-regional,false,2024/09/26,2024/09/29,SeniorMenSingle/SeniorWomenSingle/JuniorMenSingle/JuniorWomenSingle/NoviceAMenSingle/NoviceAWomenSingle/NoviceBMenSingle/NoviceBWomenSingle
Chu-Shikoku-KyushuRegional,Okayama,JPN,competition-chu-shikoku-kyushu-regional,false,2024/10/03,2024/10/06,SeniorMenSingle/SeniorWomenSingle/JuniorMenSingle/JuniorWomenSingle/NoviceAMenSingle/NoviceAWomenSingle/NoviceBMenSingle/NoviceBWomenSingle
NationalNovice,Hyogo,JPN,competition-national-novice,false,2024/10/18,2024/10/20,NoviceAMenSingle/NoviceAWomenSingle/NoviceBMenSingle/NoviceBWomenSingle
EasternSection,Aomori,JPN,competition-eastern-section,false,2024/10/11,2024/10/13,SeniorMenSingle/SeniorWomenSingle/JuniorMenSingle/JuniorWomenSingle
WesternSection,Aichi,JPN,competition-western-section,false,2024/10/18,2024/10/20,SeniorMenSingle/SeniorWomenSingle/JuniorMenSingle/JuniorWomenSingle
NationalJunior,Hiroshima,JPN,competition-national-junior,false,2024/11/15,2024/11/17,JuniorMenSingle/JuniorWomenSingle
Nationals,Osaka,JPN,competition-nationals,false,2024/12/19,2024/12/22,SeniorMenSingle/SeniorWomenSingle
