id,elementPlaceableSetIds
NoviceBMenFreeSkating,Jump/Jump/Jump/Jump2Combination/Jump3Combination/SpinOnepositionFlying/SpinCamelSitNoflying/SpinCombinationNoflying/ChoreographicSequence
NoviceBWomenFreeSkating,Jump/Jump/Jump/Jump2Combination/Jump3Combination/SpinOnepositionFlying/SpinOnepositionCamelSitLaybackNoflying/SpinCombinationNoflying/ChoreographicSequence
NoviceAMenFreeSkating,Jump/Jump/Jump/Jump/Jump2Combination/Jump3Combination/SpinOnepositionFlying/SpinCamelSitNoflying/SpinCombinationNoflying/StepSequence
NoviceAWomenFreeSkating,Jump/Jump/Jump/Jump/Jump2Combination/Jump3Combination/SpinOnepositionFlying/SpinOnepositionCamelSitLaybackNoflying/SpinCombinationNoflying/StepSequence
JuniorMenFreeSkating,Jump/Jump/Jump/Jump/Jump2Combination/Jump2Combination/Jump3Combination/SpinFlying/SpinOneposition/SpinCombination/ChoreographicSequence
JuniorMenShortProgram,Jump23A/Jump23F/Jump23-33Combination/SpinCamelFlying/SpinSitChangefootNoflying/SpinCombinationChangefootNoflying/StepSequence
JuniorWomenFreeSkating,Jump/Jump/Jump/Jump/Jump2Combination/Jump2Combination/Jump3Combination/SpinFlying/SpinOneposition/SpinCombination/ChoreographicSequence
JuniorWomenShortProgram,Jump2A/Jump23F/Jump23-33Combination/SpinCamelFlying/SpinOnepositionSitLaybackNoflying/SpinCombinationChangefootNoflying/StepSequence
SeniorMenFreeSkating,Jump/Jump/Jump/Jump/Jump2Combination/Jump2Combination/Jump3Combination/SpinFlying/SpinOneposition/SpinCombination/StepSequence/ChoreographicSequence
SeniorMenShortProgram,Jump23A/Jump34/Jump23-33-42-43Combination/SpinOnepositionFlying/SpinCamelSitChangefootNoflying/SpinCombinationChangefootNoflying/StepSequence
SeniorWomenFreeSkating,Jump/Jump/Jump/Jump/Jump2Combination/Jump2Combination/Jump3Combination/SpinFlying/SpinOneposition/SpinCombination/StepSequence/ChoreographicSequence
SeniorWomenShortProgram,Jump23A/Jump3/Jump23-33Combination/SpinOnepositionFlying/SpinOnepositionCamelSitLayback/SpinCombinationChangefootNoflying/StepSequence
